volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,eruption_number,eruption_category,start_year,start_month,start_day,evidence_method_dating
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,4329,60730,1042836,7634778,10655,Confirmed Eruption,1972,11.0,12.0,Historical Observations
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,4329,60730,1042836,7634778,10654,Confirmed Eruption,1926,8.0,0.0,Historical Observations
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,4329,60730,1042836,7634778,10653,Confirmed Eruption,1924,12.0,18.0,Historical Observations
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",Honshu,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,428,3936,717078,5024654,17913,Confirmed Eruption,1996,9.0,1.0,Historical Observations
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",Honshu,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,428,3936,717078,5024654,17912,Confirmed Eruption,1900,7.0,17.0,Historical Observations
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",Honshu,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,428,3936,717078,5024654,17911,Confirmed Eruption,1899,8.0,24.0,Historical Observations
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,Azores,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,406,17272,113131,119653,13033,Confirmed Eruption,1564,2.0,10.0,Historical Observations
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,Azores,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,406,17272,113131,119653,13032,Confirmed Eruption,1563,6.0,28.0,Historical Observations
264020,Agung,Stratovolcano,2019,Indonesia,Indonesia,Lesser Sunda Islands,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Eruption Observed,5657,76781,968381,4550176,22241,Confirmed Eruption,2017,11.0,21.0,Historical Observations
284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,0,0,0,0,18474,Confirmed Eruption,2001,4.0,24.0,Hydrophonic
